baseRank,baseRegressorText,baseRegressorKey,baseTotalOrder,baseMaxMemoryTap,structuralSupportWaveformCount,structuralSupportFraction,oneToOneSupportWaveformCount,oneToOneSupportFraction,exactCount,correlatedClearCount,correlatedBestCount,redundantSupportCount,noMatchCount,supportWaveformList,oneToOneWaveformList
5,x(n)^1 |x(n+1)|^2,"X=0;Xconj=zeros(1,0);Xenv=[-1 -1]",3,1,7,0.875,6,0.75,5,0,0,1,1,WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF03;WF04;WF05;WF06;WF07;WF08
57,x(n-1)^2 x*(n-2)^1,"X=[1 1];Xconj=2;Xenv=zeros(1,0)",3,2,7,0.875,6,0.75,1,1,3,1,1,WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF02;WF03;WF05;WF06;WF07;WF08
34,x(n-2)^1 |x(n)|^3,"X=2;Xconj=zeros(1,0);Xenv=[0 0 0]",4,2,7,0.875,6,0.75,4,0,1,1,1,WF01;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF04;WF05;WF06;WF07;WF08
126,x(n-1)^1 |x(n-2)|^3,"X=1;Xconj=zeros(1,0);Xenv=[2 2 2]",4,2,7,0.875,6,0.75,3,2,0,1,1,WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF02;WF03;WF04;WF06;WF07;WF08
167,x(n-1)^1 |x(n-3)|^3,"X=1;Xconj=zeros(1,0);Xenv=[3 3 3]",4,3,7,0.875,6,0.75,2,2,1,1,1,WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF02;WF03;WF04;WF05;WF06;WF08
13,x*(n)^3 |x(n)|^2,"X=zeros(1,0);Xconj=[0 0 0];Xenv=[0 0]",5,0,7,0.875,6,0.75,2,2,1,1,1,WF01;WF02;WF03;WF05;WF06;WF07;WF08,WF01;WF03;WF05;WF06;WF07;WF08
291,x(n-3)^1 x(n-4)^2 x*(n-2)^1 x*(n-5)^1,"X=[3 4 4];Xconj=[2 5];Xenv=zeros(1,0)",5,5,7,0.875,6,0.75,0,3,2,1,1,WF01;WF02;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF04;WF05;WF06;WF08
201,x(n-3)^1 |x(n-1)|^9,"X=3;Xconj=zeros(1,0);Xenv=[1 1 1 1 1 1 1 1 1]",10,3,7,0.875,6,0.75,1,3,1,1,1,WF01;WF02;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF04;WF05;WF06;WF08
99,x(n-1)^1 |x(n+1)|^11,"X=1;Xconj=zeros(1,0);Xenv=[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]",12,1,7,0.875,6,0.75,4,0,1,1,1,WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF02;WF03;WF04;WF06;WF07;WF08
150,x(n-1)^1 |x(n+1)|^12,"X=1;Xconj=zeros(1,0);Xenv=[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]",13,1,7,0.875,6,0.75,4,0,1,1,1,WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF02;WF03;WF04;WF06;WF07;WF08
288,x(n-1)^1 |x(n-1)|^12,"X=1;Xconj=zeros(1,0);Xenv=[1 1 1 1 1 1 1 1 1 1 1 1]",13,1,7,0.875,6,0.75,2,3,0,1,1,WF01;WF02;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF05;WF06;WF07;WF08
269,x(n-3)^1 |x(n-4)|^12,"X=3;Xconj=zeros(1,0);Xenv=[4 4 4 4 4 4 4 4 4 4 4 4]",13,4,7,0.875,6,0.75,3,1,1,1,1,WF01;WF02;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF05;WF06;WF07;WF08
22,x(n-1)^1 |x(n+1)|^2,"X=1;Xconj=zeros(1,0);Xenv=[-1 -1]",3,1,7,0.875,5,0.625,3,1,0,2,1,WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF02;WF03;WF06;WF07;WF08
75,x(n-1)^2 x*(n)^1,"X=[1 1];Xconj=0;Xenv=zeros(1,0)",3,1,7,0.875,5,0.625,1,1,2,2,1,WF01;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF03;WF05;WF06;WF08
180,x(n)^1 |x(n-1)|^2,"X=0;Xconj=zeros(1,0);Xenv=[1 1]",3,1,7,0.875,5,0.625,3,1,0,2,1,WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF02;WF03;WF05;WF06;WF08
195,x(n-1)^1 |x(n-1)|^2,"X=1;Xconj=zeros(1,0);Xenv=[1 1]",3,1,7,0.875,5,0.625,3,1,0,2,1,WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF02;WF04;WF05;WF07;WF08
156,x(n-1)^1 |x(n-1)|^3,"X=1;Xconj=zeros(1,0);Xenv=[1 1 1]",4,1,7,0.875,5,0.625,3,1,0,2,1,WF01;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF05;WF06;WF07;WF08
87,x(n)^1 |x(n-1)|^2 |x(n-2)|^2,"X=0;Xconj=zeros(1,0);Xenv=[1 1 2 2]",5,2,7,0.875,5,0.625,1,1,2,2,1,WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF02;WF05;WF06;WF07;WF08
98,x(n-3)^1 |x(n)|^8,"X=3;Xconj=zeros(1,0);Xenv=[0 0 0 0 0 0 0 0]",9,3,7,0.875,5,0.625,0,3,1,2,1,WF01;WF02;WF04;WF05;WF06;WF07;WF08,WF01;WF05;WF06;WF07;WF08
249,x(n-2)^1 |x(n-4)|^9,"X=2;Xconj=zeros(1,0);Xenv=[4 4 4 4 4 4 4 4 4]",10,4,7,0.875,5,0.625,1,2,1,2,1,WF01;WF02;WF04;WF05;WF06;WF07;WF08,WF01;WF04;WF05;WF06;WF08
16,x(n)^1 |x(n)|^8 |x(n-2)|^2,"X=0;Xconj=zeros(1,0);Xenv=[0 0 0 0 0 0 0 0 2 2]",11,2,7,0.875,5,0.625,0,2,2,2,1,WF01;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF03;WF05;WF07;WF08
24,x(n)^2 x*(n-2)^1 |x(n)|^8,"X=[0 0];Xconj=2;Xenv=[0 0 0 0 0 0 0 0]",11,2,7,0.875,5,0.625,0,3,1,2,1,WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF02;WF03;WF05;WF06;WF08
171,x(n-3)^1 |x(n-1)|^10,"X=3;Xconj=zeros(1,0);Xenv=[1 1 1 1 1 1 1 1 1 1]",11,3,7,0.875,5,0.625,2,2,0,2,1,WF01;WF02;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF04;WF06;WF08
170,x(n-3)^1 |x(n-1)|^11,"X=3;Xconj=zeros(1,0);Xenv=[1 1 1 1 1 1 1 1 1 1 1]",12,3,7,0.875,5,0.625,1,3,0,2,1,WF01;WF02;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF04;WF06;WF08
295,x(n-3)^1 |x(n-4)|^11,"X=3;Xconj=zeros(1,0);Xenv=[4 4 4 4 4 4 4 4 4 4 4]",12,4,7,0.875,5,0.625,1,2,1,2,1,WF01;WF02;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF05;WF06;WF08
62,x(n-3)^1 |x(n-1)|^12,"X=3;Xconj=zeros(1,0);Xenv=[1 1 1 1 1 1 1 1 1 1 1 1]",13,3,7,0.875,5,0.625,1,3,0,2,1,WF01;WF02;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF04;WF06;WF08
283,x(n-4)^1 |x(n-4)|^12,"X=4;Xconj=zeros(1,0);Xenv=[4 4 4 4 4 4 4 4 4 4 4 4]",13,4,7,0.875,5,0.625,1,3,0,2,1,WF01;WF02;WF04;WF05;WF06;WF07;WF08,WF01;WF04;WF05;WF06;WF08
11,x(n-1)^1,"X=1;Xconj=zeros(1,0);Xenv=zeros(1,0)",1,1,6,0.75,6,0.75,5,0,0,0,2,WF01;WF03;WF04;WF05;WF07;WF08,WF01;WF03;WF04;WF05;WF07;WF08
14,x(n-2)^1,"X=2;Xconj=zeros(1,0);Xenv=zeros(1,0)",1,2,6,0.75,6,0.75,5,0,0,0,2,WF01;WF03;WF04;WF05;WF07;WF08,WF01;WF03;WF04;WF05;WF07;WF08
30,x(n-8)^1,"X=8;Xconj=zeros(1,0);Xenv=zeros(1,0)",1,8,6,0.75,6,0.75,5,0,0,0,2,WF01;WF03;WF05;WF06;WF07;WF08,WF01;WF03;WF05;WF06;WF07;WF08
15,x(n-2)^1 |x(n)|^1,"X=2;Xconj=zeros(1,0);Xenv=0",2,2,6,0.75,6,0.75,3,0,2,0,2,WF01;WF04;WF05;WF06;WF07;WF08,WF01;WF04;WF05;WF06;WF07;WF08
